ECO,name,moves
A25,"Hungarian Attack, English",c4 e5 Nc3 Nc6 g3 g6 Bg2 Bg7 Rb1
A26,"Closed System, King's English; A26",c4 e5 Nc3 Nc6 g3 g6 Bg2 Bg7 d3
A25,"Closed System, Full Symmetry, King's English",c4 e5 Nc3 Nc6 g3 g6 Bg2 Bg7 d3 d6
A25,"Botvinnik System, King's English",c4 e5 Nc3 Nc6 g3 g6 Bg2 Bg7 d3 d6 e4
A25,"Bremen-Hort Variation, English",c4 e5 Nc3 Nc6 g3 g6 Bg2 Bg7 e3 d6 Nge2 Be6
A25,"Botvinnik Variation, English",c4 e5 Nc3 Nc6 g3 g6 Bg2 Bg7 e4
A27,"Three Knights System, English; A27",c4 e5 Nc3 Nc6 Nf3
A28,"Four Knights Variation, English; A28",c4 e5 Nc3 Nc6 Nf3 Nf6
A28,"Korchnoi Line, English",c4 e5 Nc3 Nc6 Nf3 Nf6 a3
A28,"Flexible Line, English",c4 e5 Nc3 Nc6 Nf3 Nf6 d3
A28,"Bradley Beach Variation, English",c4 e5 Nc3 Nc6 Nf3 Nf6 d4 e4
A28,"Four Knights Variation, English",c4 e5 Nc3 Nc6 Nf3 Nf6 d4 exd4 Nxd4Bb4 Bg5 h6 Bh4 Bxc3+ bxc3 Ne5
A28,"Quiet Line, English",c4 e5 Nc3 Nc6 Nf3 Nf6 e3
A28,"Romanishin Variation, English",c4 e5 Nc3 Nc6 Nf3 Nf6 e3 Bb4 Qc2 Bxc3
A28,"Keene; Stean Variation, English",c4 e5 Nc3 Nc6 Nf3 Nf6 e3 Bb4 Qc2 O-O Nd5 Re8 Qf5
A28,"Botvinnik Line, English",c4 e5 Nc3 Nc6 Nf3 Nf6 e4
A29,"Fianchetto Line, Four Knights English; A29",c4 e5 Nc3 Nc6 Nf3 Nf6 g3
A22,"Two Knights Variation, English; A22",c4 e5 Nc3 Nf6
A22,"Mazedonisch Variation, English",c4 e5 Nc3 Nf6 f4
A22,"Bremen; Carls Variation, English",c4 e5 Nc3 Nf6 g3
A22,"Kapengut; Smyslov; Modern V, English",c4 e5 Nc3 Nf6 g3 Bb4
A23,"Keres Variation, English; A23",c4 e5 Nc3 Nf6 g3 c6
A23,"Reversed Dragon, English",c4 e5 Nc3 Nf6 g3 d5
A24,"Fianchetto Lines, Two Knights Variation, English; A24",c4 e5 Nc3 Nf6 g3 g6
A24,"Prickly Pawn Pass System, English",c4 e5 Nc3 Nf6 g3 g6 Bg2 Bg7 d3 d6 e4 O-O Nge2 c6 O-O a6
A22,"Bellon Gambit, English",c4 e5 Nc3 Nf6 Nf3 e4 Ng5 b5
A22,"Erbenheimer Gambit, English",c4 e5 Nc3 Nf6 Nf3 e4 Ng5 Ng4
A20,"Nimzovich Variation, English",c4 e5 Nf3
A20,"Nimzovich-Flohr Variation, English",c4 e5 Nf3 e4
A20,English Queen,c4 e5 Qa4
A13,"Agincourt; Kurajica Defense, English; A13",c4 e6
A13,English Defense,c4 e6 d4 b6
A13,"King's Knight Variation, English",c4 e6 Nf3 d5
A13,"Wimpy System, English",c4 e6 Nf3 d5 b3 Nf6 Bb2 c5 e3
A13,"Afincourt Variation, English",c4 e6 Nf3 d5 g3
A13,"Kurajica Defense, English",c4 e6 Nf3 d5 g3 c6
A13,"Neo Catalan, English",c4 e6 Nf3 d5 g3 Nf6
A14,A14,c4 e6 Nf3 d5 g3 Nf6 Bg2 Be7
A14,"Neo Catalan Declined, English",c4 e6 Nf3 d5 g3 Nf6 Bg2 Be7 O-O
A14,"Keres Defense, English",c4 e6 Nf3 d5 g3 Nf6 Bg2 Be7 O-O c5 cxd5 Nxd5 Nc3 Nc6
A13,"Neo Catalan Accepted, English",c4 e6 Nf3 d5 g3 Nf6 Bg2 dxc4
A13,"Romanishin Gambit, English",c4 e6 Nf3 Nf6 g3 a6 Bg2 b5
A10,Anglo-Dutch Defense,c4 f5
A10,Anglo-Polish Dutch,c4 f5 b4
A10,"Hickmann Gambit, English",c4 f5 e4
A10,"Hickmann Gambit, English",c4 f5 e4 fxe4 d3
A10,"Porcupine Variation, English",c4 f5 e4 fxe4 Nc3 Nf6 g4
A10,"Wade Gambit, English",c4 f5 g4
A10,English Spike,c4 f5 g4
A10,"Chabanon Gambit, English",c4 f5 Nf3 d6 e4
A10,"Myers Defense, English",c4 g5 d4 Bg7
A10,"Zilbermints Gambit, English",c4 g5 d4 e5
A10,"Great Snake, English",c4 g6
A10,"Adorjan System, English",c4 g6 e4 e5
A10,Beefeater,c4 g6 Nc3 Bg7 d4 c5 d5 Bxc3 bxc3 f5
A10,"Anglo-Lithuanian Variation, English",c4 Nc6
A15,"Anglo System, English; A15",c4 Nf6
A15,"Mikenas-Carls Variation, English",c4 Nf6
A15,English Orangutan,c4 Nf6 b4
A15,Shirazi Shove,c4 Nf6 g3 h5
A16,A16,c4 Nf6 Nc3
A16,"Golombek Defense, English; Anti English",c4 Nf6 Nc3 d5
A16,"Czech Variation, English",c4 Nf6 Nc3 d5 cxd5 Nxd5 g3 g6 Bg2 Nb6
A17,"Smyslov Defense, English",c4 Nf6 Nc3 d5 cxd5 Nxd5 g3 g6 Bg2 Nxc3
A16,"Korchnoi's Variation, English",c4 Nf6 Nc3 d5 cxd5 Nxd5 Nf3 g6 g3 Bg7 Bg2 e5
A16,"Stein Attack, English",c4 Nf6 Nc3 d5 cxd5 Nxd5 Nf3 g6 Qa4+
A17,"Hegehog System, Anglo-Indian English; A17",c4 Nf6 Nc3 e6
A18,"Flohr-Mikenas-Carls Variation, English; A18",c4 Nf6 Nc3 e6 e4
A19,"Floh-Mikenas-Carls Variation, English; A19",c4 Nf6 Nc3 e6 e4 c5
A19,"Nei Gambit, English",c4 Nf6 Nc3 e6 e4 c5 e5 Ng8
A18,"Kevitz Defense, English",c4 Nf6 Nc3 e6 e4 Nc6
A18,"Queen's Indian Formation, English",c4 Nf6 Nc3 e6 Nf3 b6
A17,Nimzo-English Opening,c4 Nf6 Nc3 e6 Nf3 Bb4
A17,"Zviagintsev-Krasenkov Attack, English",c4 Nf6 Nc3 e6 Nf3 Bb4 g4
A16,Anti-anti-grunfeld,c4 Nf6 Nc3 g6 Nf3 Bg7 e4
A15,"King's Knight Variation, English",c4 Nf6 Nf3
A15,"Romanishin Variation, English",c4 Nf6 Nf3 e6 g3 a6
A00,Mieses; Valencia; Venezuelan Opening,d3
