ECO,name,moves
D32,"Tarrasch Gambit, QGD",d4 d5 c4 e6 Nc3 c5 cxd5 exd5 dxc5 d4 Na4 b5
D32,"Marshall Gambit, Tarrasch",d4 d5 c4 e6 Nc3 c5 cxd5 exd5 e4
D32,"Two Knights Variation, Tarrasch",d4 d5 c4 e6 Nc3 c5 cxd5 exd5 Nf3
D32,"Grunfeld Gambit, Tarrasch",d4 d5 c4 e6 Nc3 c5 cxd5 exd5 Nf3 Nc6 dxc5 d4 Na4 b5
D33,"Lodz; Schlecter; Rubinstein Var, QGD; D33",d4 d5 c4 e6 Nc3 c5 cxd5 exd5 Nf3 Nc6 g3
D33,"Folkestone; Swedish Var, QGD",d4 d5 c4 e6 Nc3 c5 cxd5 exd5 Nf3 Nc6 g3 c4
D33,"Prague Variation, QGD",d4 d5 c4 e6 Nc3 c5 cxd5 exd5 Nf3 Nc6 g3 Nf6
D34,D34,d4 d5 c4 e6 Nc3 c5 cxd5 exd5 Nf3 Nc6 g3 Nf6 Bg2 Be7
D34,"Rubinstein; Normal Position, QGD",d4 d5 c4 e6 Nc3 c5 cxd5 exd5 Nf3 Nc6 g3 Nf6 Bg2 Be7 O-O O-O
D34,"Carlsbad Variation, Tarrasch",d4 d5 c4 e6 Nc3 c5 cxd5 exd5 Nf3 Nc6 g3 Nf6 Bg2 Be7 O-O O-O Bg5
D34,"Endgame Variation, Tarrasch",d4 d5 c4 e6 Nc3 c5 cxd5 exd5 Nf3 Nc6 g3 Nf6 Bg2 Be7 O-O O-O Bg5 Be6
D34,"Bogoljubow Variation, Tarrasch",d4 d5 c4 e6 Nc3 c5 cxd5 exd5 Nf3 Nc6 g3 Nf6 Bg2 Be7 O-O O-O Bg5 Be6 Rc1 c4
D34,"Advance Variation, Tarrasch",d4 d5 c4 e6 Nc3 c5 cxd5 exd5 Nf3 Nc6 g3 Nf6 Bg2 Be7 O-O O-O Bg5 c4
D34,"Spassky Variation, Tarrasch",d4 d5 c4 e6 Nc3 c5 cxd5 exd5 Nf3 Nc6 g3 Nf6 Bg2 Be7 O-O O-O Bg5 cxd4 Nxd4
D34,"Reti Variation, QGD",d4 d5 c4 e6 Nc3 c5 cxd5 exd5 Nf3 Nc6 g3 Nf6 Bg2 Be7 O-O O-O dxc5 Bxc5 Na4
D34,Classical Tarrasch Gambit,d4 d5 c4 e6 Nc3 c5 cxd5 exd5 Nf3 Nc6 g3 Nf6 Bg2 Be7 O-O O-O dxc5 d4
D33,"Wagner Variation, Tarrasch",d4 d5 c4 e6 Nc3 c5 cxd5 exd5 Nf3 Nc6 g3 Nf6 Bg2 Bg4
D32,"Symmetrical Variation, Tarrasch",d4 d5 c4 e6 Nc3 c5 e3 Nf6 Nf3 Nc6
D31,Semi-Slav Defense,d4 d5 c4 e6 Nc3 c6
A84,"Slav Stonewall, Dutch",d4 d5 c4 e6 Nc3 c6 e3 f5
D31,"Portisch Gambit, Semi-Slav",d4 d5 c4 e6 Nc3 c6 e3 f5 g4
D31,"Marshall Gambit, Semi-Slav",d4 d5 c4 e6 Nc3 c6 e4
D31,"Gunderam Gambit, Semi-Slav",d4 d5 c4 e6 Nc3 c6 e4 dxe4 f3
D31,"Tolush Variation, Semi-Slav",d4 d5 c4 e6 Nc3 c6 e4 dxe4 Nxe4 Bb4+ Bd2 Qxd4 Bxb4 Qxe4+Be2 c5 Bxc5 Qxg2
D31,"Noteboom Variation, Semi-Slav",d4 d5 c4 e6 Nc3 c6 Nf3 dxc4
D31,"Abrahams; Noteboom; Klaus Junge Var, QGD",d4 d5 c4 e6 Nc3 c6 Nf3 dxc4 a4 Bb4 e3 b5 Bd2 a5
D31,"Anti-Noteboom Variation, Semi-Slav",d4 d5 c4 e6 Nc3 c6 Nf3 dxc4 Bg5
D31,"Beliavsky Line, Semi-Slav",d4 d5 c4 e6 Nc3 c6 Nf3 dxc4 Bg5 f6
D35,D35,d4 d5 c4 e6 Nc3 Nf6
D35,"Harrwitz; Rubinstein Var, QGD",d4 d5 c4 e6 Nc3 Nf6 Bf4
D50,"Modern Variation, QGD; D50",d4 d5 c4 e6 Nc3 Nf6 Bg5
D53,D53,d4 d5 c4 e6 Nc3 Nf6 Bg5 Be7
D53,"Heral Variation, QGD",d4 d5 c4 e6 Nc3 Nf6 Bg5 Be7 Bxf6
D53,"Lasker Defense, QGD",d4 d5 c4 e6 Nc3 Nf6 Bg5 Be7 e3 Ne4
D55,D55,d4 d5 c4 e6 Nc3 Nf6 Bg5 Be7 e3 O-O Nf3
D55,"Pillsbury Attack, QGD",d4 d5 c4 e6 Nc3 Nf6 Bg5 Be7 e3 O-O Nf3 b6 Bd3 Bb7 cxd5 exd5 Ne5
D55,"Neo Orthodox Variation, QGD",d4 d5 c4 e6 Nc3 Nf6 Bg5 Be7 e3 O-O Nf3 h6
D56,D56,d4 d5 c4 e6 Nc3 Nf6 Bg5 Be7 e3 O-O Nf3 h6 Bh4
D58,"Tartakower Variation, QGD; D58",d4 d5 c4 e6 Nc3 Nf6 Bg5 Be7 e3 O-O Nf3 h6 Bh4 b6
D59,"Exchange Variation, Tartakower Defense, QGD; D59",d4 d5 c4 e6 Nc3 Nf6 Bg5 Be7 e3 O-O Nf3 h6 Bh4 b6 cxd5 Nxd5
D56,"Lasker Variation, QGD",d4 d5 c4 e6 Nc3 Nf6 Bg5 Be7 e3 O-O Nf3 h6 Bh4 Ne4 Bxe7 Qxe7
D57,D57,d4 d5 c4 e6 Nc3 Nf6 Bg5 Be7 e3 O-O Nf3 h6 Bh4 Ne4 Bxe7 Qxe7 cxd5
D57,"Bernstein Variation, QGD",d4 d5 c4 e6 Nc3 Nf6 Bg5 Be7 e3 O-O Nf3 h6 Bh4 Ne4 Bxe7 Qxe7 cxd5 Nxc3 bxc3
D56,"Teichmann Variation, QGD",d4 d5 c4 e6 Nc3 Nf6 Bg5 Be7 e3 O-O Nf3 h6 Bh4 Ne4 Bxe7 Qxe7 Qc2
D55,"Anti-Tartakower Variation, QGD",d4 d5 c4 e6 Nc3 Nf6 Bg5 Be7 e3 O-O Nf3 h6 Bxf6
D55,"Petrosian Variation, QGD",d4 d5 c4 e6 Nc3 Nf6 Bg5 Be7 e3 O-O Nf3 h6 Bxf6 Bxf6 Rc1 c6 Bd3 Nd7 O-O dxc4
D60,"Orthodox Variation, QGD; D60",d4 d5 c4 e6 Nc3 Nf6 Bg5 Be7 e3 O-O Nf3 Nbd7
D60,"Botvinnik Variation, QGD",d4 d5 c4 e6 Nc3 Nf6 Bg5 Be7 e3 O-O Nf3 Nbd7 Bd3
D60,"Rauzer Variation, QGD",d4 d5 c4 e6 Nc3 Nf6 Bg5 Be7 e3 O-O Nf3 Nbd7 Qb3
D61,"Rubinstein Variation, Orthodox Defense, QGD; D61",d4 d5 c4 e6 Nc3 Nf6 Bg5 Be7 e3 O-O Nf3 Nbd7 Qc2
D62,D62,d4 d5 c4 e6 Nc3 Nf6 Bg5 Be7 e3 O-O Nf3 Nbd7 Qc2 c5 cxd5
D63,D63,d4 d5 c4 e6 Nc3 Nf6 Bg5 Be7 e3 O-O Nf3 Nbd7 Rc1
D63,"Henneberger; Swiss Variation, QGD",d4 d5 c4 e6 Nc3 Nf6 Bg5 Be7 e3 O-O Nf3 Nbd7 Rc1 a6
D63,"Capablanca Variation, QGD",d4 d5 c4 e6 Nc3 Nf6 Bg5 Be7 e3 O-O Nf3 Nbd7 Rc1 b6 cxd5 exd5 Bb5
D63,"Pillsbury Variation, QGD",d4 d5 c4 e6 Nc3 Nf6 Bg5 Be7 e3 O-O Nf3 Nbd7 Rc1 b6 cxd5 exd5 Bd3
D63,"Rubinstein Variation, QGD",d4 d5 c4 e6 Nc3 Nf6 Bg5 Be7 e3 O-O Nf3 Nbd7 Rc1 c6
D66,D66,d4 d5 c4 e6 Nc3 Nf6 Bg5 Be7 e3 O-O Nf3 Nbd7 Rc1 c6 Bd3
D66,"Fianchetto Variation, Orthodox Defense, QGD",d4 d5 c4 e6 Nc3 Nf6 Bg5 Be7 e3 O-O Nf3 Nbd7 Rc1 c6 Bd3 dxc4 Bxc4 b5
D67,"Capablanca Freeing Maneuver, QGD; D67",d4 d5 c4 e6 Nc3 Nf6 Bg5 Be7 e3 O-O Nf3 Nbd7 Rc1 c6 Bd3 dxc4 Bxc4 Nd5
D67,"Alekhine Variation, QGD",d4 d5 c4 e6 Nc3 Nf6 Bg5 Be7 e3 O-O Nf3 Nbd7 Rc1 c6 Bd3 dxc4 Bxc4 Nd5 Bxe7 Qxe7 Ne4
D67,"Classical Variation, QGD",d4 d5 c4 e6 Nc3 Nf6 Bg5 Be7 e3 O-O Nf3 Nbd7 Rc1 c6 Bd3 dxc4 Bxc4 Nd5 Bxe7 Qxe7 O-O Nxc3 1Rxc3
D68,D68,d4 d5 c4 e6 Nc3 Nf6 Bg5 Be7 e3 O-O Nf3 Nbd7 Rc1 c6 Bd3 dxc4 Bxc4 Nd5 Bxe7 Qxe7 O-O Nxc3 1Rxc3 e5
D69,D69,d4 d5 c4 e6 Nc3 Nf6 Bg5 Be7 e3 O-O Nf3 Nbd7 Rc1 c6 Bd3 dxc4 Bxc4 Nd5 Bxe7 Qxe7 O-O Nxc3 1Rxc3 e5 1dxe5
D64,"Janowski Variation, Orthodox Defense, QGD",d4 d5 c4 e6 Nc3 Nf6 Bg5 Be7 e3 O-O Nf3 Nbd7 Rc1 c6 Bd3 dxc4 Bxc4 Nd5 h4
D64,"Rubinstein Attack, Orthodox Defense, QGD;  D64",d4 d5 c4 e6 Nc3 Nf6 Bg5 Be7 e3 O-O Nf3 Nbd7 Rc1 c6 Qc2
D65,D65,d4 d5 c4 e6 Nc3 Nf6 Bg5 Be7 e3 O-O Nf3 Nbd7 Rc1 c6 Qc2 a6 cxd5
D54,"Neo-Orthodox Variation, QGD; D54",d4 d5 c4 e6 Nc3 Nf6 Bg5 Be7 e3 O-O Rc1
D50,"Uhlmann Variation, QGD",d4 d5 c4 e6 Nc3 Nf6 Bg5 Be7 Nf3 h6 Bh4 O-O Rc1 dxc4
D50,Been & Koomen; Dutch & Peruvian,d4 d5 c4 e6 Nc3 Nf6 Bg5 c5
D50,"Pseudo-Tarrasch Variation, QGD",d4 d5 c4 e6 Nc3 Nf6 Bg5 c5 cxd5
D50,"Canal; Venice Variation, QGD",d4 d5 c4 e6 Nc3 Nf6 Bg5 c5 cxd5 Qb6
D50,"Primitive Pillsbury Variation, QGD",d4 d5 c4 e6 Nc3 Nf6 Bg5 c5 Nf3 cxd4 Qxd4
D51,"Knight Defense, QGD; D51",d4 d5 c4 e6 Nc3 Nf6 Bg5 Nbd7
D51,"Manhattan; Westphalia Variation, QGD",d4 d5 c4 e6 Nc3 Nf6 Bg5 Nbd7 e3 Bb4
D51,"Westphalian Variation, QGD",d4 d5 c4 e6 Nc3 Nf6 Bg5 Nbd7 e3 Bb4 Nf3 c5
D52,D52,d4 d5 c4 e6 Nc3 Nf6 Bg5 Nbd7 e3 c6 Nf3
D52,"Cambridge Springs; Pillsbury Variation, QGD",d4 d5 c4 e6 Nc3 Nf6 Bg5 Nbd7 e3 c6 Nf3 Qa5
D52,"Bogoljubov Variation, QGD",d4 d5 c4 e6 Nc3 Nf6 Bg5 Nbd7 e3 c6 Nf3 Qa5 Nd2 Bb4 Qc2
D52,"Argentine Variation, QGD",d4 d5 c4 e6 Nc3 Nf6 Bg5 Nbd7 e3 c6 Nf3 Qa5 Nd2 Bb4 Qc2 O-O Bh4
D51,"Alekhine Variation, QGD",d4 d5 c4 e6 Nc3 Nf6 Bg5 Nbd7 Nf3 c6 e4
D51,"Alekhine Gambit, QGD",d4 d5 c4 e6 Nc3 Nf6 Bg5 Nbd7 Nf3 h6 Bh4 dxc4
D35,"Exchange Variation, QGD",d4 d5 c4 e6 Nc3 Nf6 cxd5
D35,"Positional Variation, Exchange Variation, QGD",d4 d5 c4 e6 Nc3 Nf6 cxd5 exd5 Bg5
D36,"Reshevsky Variation, QGD; D36",d4 d5 c4 e6 Nc3 Nf6 cxd5 exd5 Bg5 c6 Qc2
D35,"Saemisch Variation, QGD",d4 d5 c4 e6 Nc3 Nf6 cxd5 exd5 Nf3 Nbd7 Bf4
D37,"Three Knights Variation, QGD; D37",d4 d5 c4 e6 Nc3 Nf6 Nf3
D38,"Ragozin Variation, QGD; D38",d4 d5 c4 e6 Nc3 Nf6 Nf3 Bb4
D39,"Vienna Variation, QGD; D39",d4 d5 c4 e6 Nc3 Nf6 Nf3 Bb4 Bg5 dxc4
D38,"Alekhine Variation, QGD",d4 d5 c4 e6 Nc3 Nf6 Nf3 Bb4 Qa4
D37,"Harrwitz Attack, QGD",d4 d5 c4 e6 Nc3 Nf6 Nf3 Be7 Bf4
D40,"Semi-Tarrasch Variation, QGD; D40",d4 d5 c4 e6 Nc3 Nf6 Nf3 c5
D40,"Pillsbury Variation, Semi-Tarrasch",d4 d5 c4 e6 Nc3 Nf6 Nf3 c5 Bg5
D41,D41,d4 d5 c4 e6 Nc3 Nf6 Nf3 c5 cxd5
D42,D42,d4 d5 c4 e6 Nc3 Nf6 Nf3 c5 cxd5 Nxd5 e3 Nc6 Bd3
D41,"San Sebastian Variation, QGD",d4 d5 c4 e6 Nc3 Nf6 Nf3 c5 cxd5 Nxd5 e4 Nxc3 bxc3 cxd4 cxd4 Bb4+ Bd2 Bxd2+
D43,D43,d4 d5 c4 e6 Nc3 Nf6 Nf3 c6
D43,"Anti-Meran Gambit, QGD",d4 d5 c4 e6 Nc3 Nf6 Nf3 c6 Bg5
D44,Semi-Slav Defense Accepted; D44,d4 d5 c4 e6 Nc3 Nf6 Nf3 c6 Bg5 dxc4
D44,"Botvinnik Variation, QGD",d4 d5 c4 e6 Nc3 Nf6 Nf3 c6 Bg5 dxc4 e4 b5
D44,"Ekstrom Variation, Semi-Slav",d4 d5 c4 e6 Nc3 Nf6 Nf3 c6 Bg5 dxc4 e4 b5 e5 h6 Bh4 g5 exf6 gxh4 Ne5
D44,"Lilienthal Variation, Semi-Slav",d4 d5 c4 e6 Nc3 Nf6 Nf3 c6 Bg5 dxc4 e4 b5 e5 h6 Bh4 g5 Nxg5 hxg5 Bxg5 Nbd7
D44,"Alatortsev System, Semi-Slav",d4 d5 c4 e6 Nc3 Nf6 Nf3 c6 Bg5 dxc4 e4 b5 e5 h6 Bh4 g5 Nxg5 Nd5
D44,Anti-Moscow Gambit,d4 d5 c4 e6 Nc3 Nf6 Nf3 c6 Bg5 h6 Bh4
D45,D45,d4 d5 c4 e6 Nc3 Nf6 Nf3 c6 e3
D45,"Acclerated Meran, QGD",d4 d5 c4 e6 Nc3 Nf6 Nf3 c6 e3 a6
D45,"Normal Variation, Semi-Slav",d4 d5 c4 e6 Nc3 Nf6 Nf3 c6 e3 Nbd7
D46,D46,d4 d5 c4 e6 Nc3 Nf6 Nf3 c6 e3 Nbd7 Bd3
D46,"Romi Variation, QGD",d4 d5 c4 e6 Nc3 Nf6 Nf3 c6 e3 Nbd7 Bd3 Bb4
D46,"Chigorin Variation, QGD",d4 d5 c4 e6 Nc3 Nf6 Nf3 c6 e3 Nbd7 Bd3 Bd6
D46,"Bogoljubow Variation, QGD",d4 d5 c4 e6 Nc3 Nf6 Nf3 c6 e3 Nbd7 Bd3 Be7
D47,"Meran Variation, QGD; D47",d4 d5 c4 e6 Nc3 Nf6 Nf3 c6 e3 Nbd7 Bd3 dxc4 Bxc4
D48,"Reynolds Variation, QGD; D48",d4 d5 c4 e6 Nc3 Nf6 Nf3 c6 e3 Nbd7 Bd3 dxc4 Bxc4 b5 Bd3 a6
D48,"Pirc Variation, QGD",d4 d5 c4 e6 Nc3 Nf6 Nf3 c6 e3 Nbd7 Bd3 dxc4 Bxc4 b5 Bd3 a6 e4 b4
D48,"Old Variation, Semi-Slav",d4 d5 c4 e6 Nc3 Nf6 Nf3 c6 e3 Nbd7 Bd3 dxc4 Bxc4 b5 Bd3 a6 e4 c5 e5
D49,"Blumenfeld Variation, QGD; D49",d4 d5 c4 e6 Nc3 Nf6 Nf3 c6 e3 Nbd7 Bd3 dxc4 Bxc4 b5 Bd3 a6 e4 c5 e5 cxd4 Nxb5
D49,"Sozin Variation, QGD",d4 d5 c4 e6 Nc3 Nf6 Nf3 c6 e3 Nbd7 Bd3 dxc4 Bxc4 b5 Bd3 a6 e4 c5 e5 cxd4 Nxb5 Nxe5
D49,"Stahlberg Variation, QGD",d4 d5 c4 e6 Nc3 Nf6 Nf3 c6 e3 Nbd7 Bd3 dxc4 Bxc4 b5 Bd3 a6 e4 c5 e5 cxd4 Nxb5 Nxe5 1Nxe5 axb5
D48,"Reynolds Variation, Semi-Slav",d4 d5 c4 e6 Nc3 Nf6 Nf3 c6 e3 Nbd7 Bd3 dxc4 Bxc4 b5 Bd3 a6 e4 d5
D48,"Old Meran Variation, QGD",d4 d5 c4 e6 Nc3 Nf6 Nf3 c6 e3 Nbd7 Bd3 dxc4 Bxc4 b5 Bd3 a6 O-O
D47,Lundin; Neo-Meran,d4 d5 c4 e6 Nc3 Nf6 Nf3 c6 e3 Nbd7 Bd3 dxc4 Bxc4 b5 Bd3 b4
D47,"Wade Variation, QGD",d4 d5 c4 e6 Nc3 Nf6 Nf3 c6 e3 Nbd7 Bd3 dxc4 Bxc4 b5 Bd3 Bb7
D47,"Larsen Variation, Semi-Slav",d4 d5 c4 e6 Nc3 Nf6 Nf3 c6 e3 Nbd7 Bd3 dxc4 Bxc4 b5 Bd3 Bb7 e4 b4 Na4 c5
D45,Rubinstein; anti-Meran,d4 d5 c4 e6 Nc3 Nf6 Nf3 c6 e3 Nbd7 Ne5
D45,"Stoltz Variation, Semi-Slav",d4 d5 c4 e6 Nc3 Nf6 Nf3 c6 e3 Nbd7 Qc2
D45,"Center Variation, Semi-Slav",d4 d5 c4 e6 Nc3 Nf6 Nf3 c6 e3 Nbd7 Qc2 Bd6 e4
D45,"Mikhalchishin Line, Semi-Slav",d4 d5 c4 e6 Nc3 Nf6 Nf3 c6 e3 Nbd7 Qc2 Bd6 e4 dxe4 Nxe4 Nxe4 Qxe4 e5 dxe5
D45,"Shabalov Attack, Semi-Slav",d4 d5 c4 e6 Nc3 Nf6 Nf3 c6 e3 Nbd7 Qc2 Bd6 g4
D44,"Stonewall Defense, Semi-Slav",d4 d5 c4 e6 Nc3 Nf6 Nf3 c6 e3 Ne4 Bd3 f5
D44,"Vienna Variation, Semi-Slav",d4 d5 c4 e6 Nc3 Nf6 Nf3 dxc4
D30,"Pseudo-Tarrasch, QGD",d4 d5 c4 e6 Nf3 c5
D30,"Bishop Attack, Tarrasch",d4 d5 c4 e6 Nf3 c5 cxd5 exd5 Bg5
D30,"Anti-Noteboom Gambit, Semi-Slav",d4 d5 c4 e6 Nf3 c6 Nc3 dxc4 g3
D30,"Traditional Variation, QGD",d4 d5 c4 e6 Nf3 Nf6 Bg5
D30,"Vienna Variation, QGD",d4 d5 c4 e6 Nf3 Nf6 Bg5 Bb4+
D30,"Duras Variation, QGD; Capablanca Variation",d4 d5 c4 e6 Nf3 Nf6 Bg5 h6
D30,"Hastings Variation, QGD",d4 d5 c4 e6 Nf3 Nf6 Bg5 h6 Bxf6 Qxf6 Nc3 c6 Qb3
D30,"Capablanca Variation, QGD",d4 d5 c4 e6 Nf3 Nf6 Bg5 Nbd7 e3 c6 Nbd2
D30,"Pseudo-Meran; Semi-Slav, QGD",d4 d5 c4 e6 Nf3 Nf6 e3 c6
D30,"Quiet Variation, Semi-Slav",d4 d5 c4 e6 Nf3 Nf6 e3 c6 Nbd2
D30,"Semmering Variation, Semi-Slav",d4 d5 c4 e6 Nf3 Nf6 e3 c6 Nbd2 Nbd7 Bd3 c5
D06,"Alekhine Defense, QGD",d4 d5 c4 g6
D07,"Chigorin Defense, QGD; D07",d4 d5 c4 Nc6
D07,"Exchange Variation, Chigorin Defense",d4 d5 c4 Nc6 cxd5 Qxd5
D07,Costa's Line,d4 d5 c4 Nc6 cxd5 Qxd5 e3 e5 Nc3 Bb4 Bd2 Bxc3 Bxc3 exd4 Ne2
D07,"Janowski Variation, QGD",d4 d5 c4 Nc6 Nc3 dxc4 Nf3
D06,"Tartakower Gambit, QGD",d4 d5 c4 Nc6 Nc3 e5
D06,"Modern Gambit, Chigorin Defense",d4 d5 c4 Nc6 Nc3 Nf6 Nf3 dxc4
D06,"Alekhine Variation, Chigorin Defense",d4 d5 c4 Nc6 Nf3 Bg4 Qa4
D06,"Lazard Gambit, Chigorin Defense",d4 d5 c4 Nc6 Nf3 e5
D06,"Marshall Defense; Knight Defense, QGD",d4 d5 c4 Nf6
D06,"Cocquio Counter Gambit, QGD; Tan Gambit",d4 d5 c4 Nf6 cxd5 c6
D00,"Stonewall Attack, Queen Pawn Game",d4 d5 e3 Nf6 Bd3
D00,Stonewall Attack,d4 d5 e3 Nf6 Bd3 c5 c3
D00,Blackmar-Diemer Gambit,d4 d5 e4
D00,"Fritz Gambit, BDG",d4 d5 e4 dxe4 Bc4
D00,"Diemer-Rosenberg Attack, BDG",d4 d5 e4 dxe4 Be3
D00,Blackmar Gambit; Gedult Gambit,d4 d5 e4 dxe4 f3
D00,"Pohlmann Variation, BDG",d4 d5 e4 dxe4 f3 f5
D00,"Mieses; Nimzovich Var, BDG",d4 d5 e4 dxe4 f3 Nc6
D00,"Polish Gambit, BDG",d4 d5 e4 dxe4 Nc3
D00,"Grosshans Defense, BDG",d4 d5 e4 dxe4 Nc3 Bd7
D00,"Zeller Defesne, BDG",d4 d5 e4 dxe4 Nc3 Bf5
D00,"Zeller Defesne, BDG",d4 d5 e4 dxe4 Nc3 Bf5 f3 exf3 Qxf3 Bc8
D00,"Soller Attack, BDG",d4 d5 e4 dxe4 Nc3 Bf5 f3 Nf6 Bc4
D00,"Dries Counter-Attack, BDG",d4 d5 e4 dxe4 Nc3 c5
D00,"Lemberger Counter-Gambit, BDG",d4 d5 e4 dxe4 Nc3 e5
D00,"Soller; Lemberger Var, BDG; Diemer Attack",d4 d5 e4 dxe4 Nc3 e5 Be3
D00,"Endgame Variation, BDG",d4 d5 e4 dxe4 Nc3 e5 dxe5
D00,"Rasmussen Attack, BDG",d4 d5 e4 dxe4 Nc3 e5 Nge2
D00,Lange Gambit; Alfred Lange Gambit; Simple Variation,d4 d5 e4 dxe4 Nc3 e5 Nxe4
D00,"Sneiders Attack, BDG",d4 d5 e4 dxe4 Nc3 e5 Qh5
D00,"Rasa-Studier Variation, BDG",d4 d5 e4 dxe4 Nc3 e6 Be3
D00,"Giertz-Peters Gambit, BDG",d4 d5 e4 dxe4 Nc3 e6 f3
D00,"Polish Attack, BDG",d4 d5 e4 dxe4 Nc3 e6 f3 Bf5 Bg5
D00,"Netherlands Variation, BDG",d4 d5 e4 dxe4 Nc3 f5
D00,"Mieses; Nimzovich Var, BDG",d4 d5 e4 dxe4 Nc3 Nc6
D00,"Vienna Variation, BDG",d4 d5 e4 dxe4 Nc3 Nf6
D00,"Studier-Rasa Gambit, BDG",d4 d5 e4 dxe4 Nc3 Nf6 Be3
D00,Von Popiel Gambit,d4 d5 e4 dxe4 Nc3 Nf6 Bg5
D00,"Zilbermints Variation, BDG",d4 d5 e4 dxe4 Nc3 Nf6 Bg5 Bf5 Bxf6 exf6 g4 Bg6 Qe2 Bb4 Qb5+
D00,Blackmar-Diemer Gambit,d4 d5 e4 dxe4 Nc3 Nf6 f3
D00,"Wiesengren Defense, BDG",d4 d5 e4 dxe4 Nc3 Nf6 f3 Bc5
D00,Hans Mullers; Vienna V,d4 d5 e4 dxe4 Nc3 Nf6 f3 Bf5
D00,"Soller; Vienna Var, BDG",d4 d5 e4 dxe4 Nc3 Nf6 f3 Bf5 Bc4
D00,"Tejler Attack, BDG",d4 d5 e4 dxe4 Nc3 Nf6 f3 Bf5 Bf4
D00,"Sperling Attack, BDG",d4 d5 e4 dxe4 Nc3 Nf6 f3 Bf5 d5
D00,"Diemer Gambit, BDG",d4 d5 e4 dxe4 Nc3 Nf6 f3 Bf5 fxe4
D00,"Kampars Gambit, BDG",d4 d5 e4 dxe4 Nc3 Nf6 f3 Bf5 g4 Bg6 g5 Nd5 fxe4
D00,"Gunderam Attack, BDG",d4 d5 e4 dxe4 Nc3 Nf6 f3 Bf5 g4 Bg6 h4
D00,"Brombacher; Daberitz Var, BDG",d4 d5 e4 dxe4 Nc3 Nf6 f3 c5
D00,"O'Kelly Variation, BDG",d4 d5 e4 dxe4 Nc3 Nf6 f3 c6
D00,"Langeheinecke Variation, BDG",d4 d5 e4 dxe4 Nc3 Nf6 f3 e3
D00,"Elbert Counter-Gambit, BDG",d4 d5 e4 dxe4 Nc3 Nf6 f3 e5
D00,"Weinsbach Declination, BDG",d4 d5 e4 dxe4 Nc3 Nf6 f3 e6
D00,"Pfrang Gambit, BDG",d4 d5 e4 dxe4 Nc3 Nf6 f3 e6 fxe4 Bb4 Bd3 Bxc3+ bxc3 Nxe4 Be3
D00,"Ritter Defense, BDG",d4 d5 e4 dxe4 Nc3 Nf6 f3 exf3 Nxf3 b6
D00,"Gunderam; Tartakower Var, BDG",d4 d5 e4 dxe4 Nc3 Nf6 f3 exf3 Nxf3 Bf5
D00,"Teichmann Variation, BDG",d4 d5 e4 dxe4 Nc3 Nf6 f3 exf3 Nxf3 Bg4
D00,"Kaulich Variation, BDG",d4 d5 e4 dxe4 Nc3 Nf6 f3 exf3 Nxf3 c5
D00,"Ziegler; Gunderam's 2nd Defense, BDG",d4 d5 e4 dxe4 Nc3 Nf6 f3 exf3 Nxf3 c6
D00,"Euwe Variation, BDG",d4 d5 e4 dxe4 Nc3 Nf6 f3 exf3 Nxf3 e6
D00,"Zilbermints Gambit, BDG",d4 d5 e4 dxe4 Nc3 Nf6 f3 exf3 Nxf3 e6  Bg5 Be7 Bd3 Nc6 O-O Nxd4 Kh1
D00,"Duthilleuk Gambit, BDG",d4 d5 e4 dxe4 Nc3 Nf6 f3 exf3 Nxf3 e6 Bd3 Nc6 Bg5 Be7 Ne4
D00,"Bogoljubow Variation, BDG",d4 d5 e4 dxe4 Nc3 Nf6 f3 exf3 Nxf3 g6
D00,"Mad Dog Attack, BDG",d4 d5 e4 dxe4 Nc3 Nf6 f3 exf3 Nxf3 g6 Bc4 Bg7 h4
D00,"Nimzovich Attack, BDG",d4 d5 e4 dxe4 Nc3 Nf6 f3 exf3 Nxf3 g6 Bc4 Bg7 Ne5
D00,"Kloss Attack, BDG",d4 d5 e4 dxe4 Nc3 Nf6 f3 exf3 Nxf3 g6 Bc4 Bg7 O-O O-O Kh1
D00,"Studier Attack, BDG",d4 d5 e4 dxe4 Nc3 Nf6 f3 exf3 Nxf3 g6 Bc4 Bg7 O-O O-O Qe1
D00,"Diemer Attack, BDG",d4 d5 e4 dxe4 Nc3 Nf6 f3 exf3 Nxf3 g6 Bf4
D00,"Peters Attack, BDG",d4 d5 e4 dxe4 Nc3 Nf6 f3 exf3 Nxf3 g6 Ne5
D00,"Gunderam Defense, BDG; Rook Pawn Defense",d4 d5 e4 dxe4 Nc3 Nf6 f3 exf3 Nxf3 h5
D00,"Schuttler Defense, BDG",d4 d5 e4 dxe4 Nc3 Nf6 f3 exf3 Nxf3 Nbd7
D00,"Pietrowsky Variation, BDG",d4 d5 e4 dxe4 Nc3 Nf6 f3 exf3 Nxf3 Nc6
D00,"Ryder Variation, BDG",d4 d5 e4 dxe4 Nc3 Nf6 f3 exf3 Qxf3
D00,"Tautvaisis Defense, BDG",d4 d5 e4 dxe4 Nc3 Nf6 f3 exf3 Qxf3 Nc6
D00,"Tejler Gambit, BDG",d4 d5 e4 dxe4 Nc3 Nf6 f3 exf3 Qxf3 Qxd4 Be3 Qg4 Qf2 Ne4 Nxe4 Qxe4 O-O-O Nc6 Bd3
